data,produto,quantidade,preco_unitario,total venda
2/6/2024,Strawberry Fruit Spread,65,2743,178295
4/29/2024,Water Bottle,57,1187,67659
7/25/2023,Caraway Rye Bread,96,17755,1704480
1/2/2024,Kids' Gardening Kit,14,19703,275842
5/8/2024,Woven Storage Baskets,32,11191,358112
9/27/2024,Classic Pumps,80,6807,544560
1/2/2025,Dog Waste Bag Dispenser,53,6135,325155
1/22/2023,Leather Crossbody Bag,2,15378,30756
8/31/2023,Denim Jacket,18,365,6570
8/4/2023,Kids' Trampoline,47,19478,915466
2/10/2025,Karaoke Microphone,76,7688,584288
6/5/2024,Cat Tree with Scratching Posts,59,7800,460200
11/29/2024,Animal Paw Print Soap Dispenser,14,19814,277396
8/15/2024,Caramel Apple Taffy,20,19074,381480
12/26/2023,Spicy Chicken Wings,99,16557,1639143
10/18/2023,A-Line Skirt,95,19199,1823905
10/23/2022,Digital Voice Recorder,44,771,33924
9/16/2023,Magnetic Whiteboard,4,15363,61452
11/23/2022,Bluetooth Tracker,83,15873,1317459
12/5/2022,Snap-On Tupperware Set,20,18620,372400
8/3/2024,Rechargeable Electric Screwdriver,58,810,46980
7/3/2023,Honey Roasted Chickpeas,55,9516,523380
1/1/2023,Chocolate Fudge Ice Cream,95,5429,515755
1/19/2024,Chocolate Dipped Fruit,45,19368,871560
10/16/2023,Blackberry Jam,80,8171,653680
7/31/2023,Walnut Halves,55,14712,809160
11/15/2023,Watercolor Paint Set,80,812,64960
3/28/2024,Classic Baseball Cap,69,10583,730227
9/19/2023,Microwave Popcorn Maker,51,784,39984
11/29/2024,LED Flashlight,34,2525,85850
2/1/2025,Travel Mug with Leak-Proof Lid,38,13980,531240
3/16/2024,Sports Bottle,43,10641,457563
7/20/2023,Tomato Basil Pasta Sauce,16,13411,214576
7/6/2023,Pet Reflective Vest,44,18952,833888
9/25/2022,Biodegradable Phone Case,43,327,14061
1/9/2025,Pet Water Fountain,91,10861,988351
11/17/2023,Herbed Mushroom Risotto,34,6474,220116
11/4/2023,Customizable Name Puzzle,59,2863,168917
1/14/2023,Fried Rice,50,10969,548450
3/30/2025,Silicone Baking Molds,73,5714,417122
2/3/2025,Sweet Potato & Kale Hash,83,12618,1047294
4/24/2023,Car Phone Mount,54,2144,115776
9/16/2024,Black Bean & Corn Salad,12,14420,173040
7/6/2023,Motorcycle Phone Mount,85,14463,1229355
10/13/2024,Cinnamon Sugar Donuts,65,635,41275
12/9/2024,Suction Cup Hooks,67,12178,815926
10/6/2022,Smart Fitness Scale,54,2873,155142
3/22/2025,Ice Cube Tray with Lid,96,11163,1071648
